Subject a,,Condition: discrimination,
Binned delta,Proportion CW,SE,Coherence
-19.5,0.114,0.023,0.04
-15.5,0.173,0.030,0.04
-11.5,0.236,0.032,0.04
-7.5,0.276,0.033,0.04
-3.5,0.390,0.036,0.04
0.5,0.430,0.037,0.04
4.5,0.516,0.037,0.04
8.5,0.599,0.035,0.04
12.5,0.719,0.033,0.04
16.5,0.748,0.031,0.04
20.5,0.780,0.031,0.04
-19.5,0.048,0.016,0.07
-15.5,0.089,0.021,0.07
-11.5,0.106,0.023,0.07
-7.5,0.152,0.026,0.07
-3.5,0.304,0.034,0.07
0.5,0.397,0.036,0.07
4.5,0.592,0.034,0.07
8.5,0.695,0.033,0.07
12.5,0.823,0.029,0.07
16.5,0.831,0.029,0.07
20.5,0.923,0.021,0.07
-19.5,0.010,0.007,0.13
-15.5,0.049,0.015,0.13
-11.5,0.098,0.022,0.13
-7.5,0.121,0.024,0.13
-3.5,0.218,0.030,0.13
0.5,0.424,0.038,0.13
4.5,0.611,0.038,0.13
8.5,0.715,0.035,0.13
12.5,0.820,0.028,0.13
16.5,0.924,0.020,0.13
20.5,0.950,0.015,0.13
-19.5,0.005,0.005,0.25
-15.5,0.022,0.010,0.25
-11.5,0.047,0.015,0.25
-7.5,0.073,0.020,0.25
-3.5,0.140,0.026,0.25
0.5,0.375,0.034,0.25
4.5,0.593,0.037,0.25
8.5,0.825,0.029,0.25
12.5,0.904,0.021,0.25
16.5,0.945,0.017,0.25
20.5,0.972,0.012,0.25
