Subject c,,Condition: reference absent
Delta,Estimate,Coherence
-24.5,-35,0.04
-24.5,-5,0.04
-23.5,10,0.04
-23.5,-30,0.04
-23.5,26,0.04
-22.5,-28,0.04
-22.5,0,0.04
-22.5,-4,0.04
-21.5,-26,0.04
-21.5,3,0.04
-21.5,-6,0.04
-20.5,-10,0.04
-20.5,0,0.04
-20.5,10,0.04
-20.5,-26,0.04
-20.5,-33,0.04
-20.5,-33,0.04
-20.5,-14,0.04
-20.5,2,0.04
-19.5,26,0.04
-19.5,3,0.04
-19.5,26,0.04
-19.5,-12,0.04
-19.5,18,0.04
-18.5,-31,0.04
-18.5,3,0.04
-17.5,-20,0.04
-17.5,-17,0.04
-16.5,-11,0.04
-15.5,-38,0.04
-15.5,-33,0.04
-15.5,18,0.04
-15.5,-24,0.04
-15.5,18,0.04
-14.5,-12,0.04
-13.5,14,0.04
-13.5,-36,0.04
-13.5,-17,0.04
-13.5,-26,0.04
-12.5,10,0.04
-12.5,-15,0.04
-12.5,-29,0.04
-11.5,29,0.04
-11.5,-17,0.04
-11.5,19,0.04
-11.5,11,0.04
-11.5,-35,0.04
-10.5,-37,0.04
-10.5,-17,0.04
-10.5,34,0.04
-10.5,-12,0.04
-9.5,-31,0.04
-9.5,24,0.04
-9.5,-16,0.04
-9.5,9,0.04
-7.5,33,0.04
-7.5,-20,0.04
-7.5,-27,0.04
-6.5,21,0.04
-6.5,-2,0.04
-6.5,-34,0.04
-6.5,-27,0.04
-5.5,24,0.04
-5.5,16,0.04
-5.5,37,0.04
-5.5,13,0.04
-5.5,-3,0.04
-5.5,-12,0.04
-4.5,-14,0.04
-4.5,-4,0.04
-3.5,4,0.04
-3.5,-27,0.04
-3.5,-27,0.04
-3.5,22,0.04
-2.5,29,0.04
-2.5,25,0.04
-2.5,28,0.04
-1.5,10,0.04
-1.5,-7,0.04
-1.5,-17,0.04
-1.5,-32,0.04
-0.5,15,0.04
-0.5,-22,0.04
0.5,24,0.04
0.5,6,0.04
0.5,13,0.04
0.5,-38,0.04
0.5,-1,0.04
0.5,27,0.04
0.5,-32,0.04
1.5,25,0.04
1.5,-4,0.04
2.5,-32,0.04
2.5,-36,0.04
3.5,-13,0.04
4.5,15,0.04
4.5,17,0.04
4.5,19,0.04
4.5,30,0.04
4.5,-12,0.04
4.5,-12,0.04
5.5,-9,0.04
5.5,13,0.04
6.5,35,0.04
6.5,2,0.04
6.5,35,0.04
6.5,6,0.04
7.5,23,0.04
7.5,37,0.04
8.5,30,0.04
8.5,20,0.04
8.5,12,0.04
8.5,17,0.04
9.5,26,0.04
9.5,31,0.04
9.5,6,0.04
10.5,22,0.04
10.5,1,0.04
11.5,-40,0.04
11.5,32,0.04
11.5,29,0.04
12.5,40,0.04
12.5,33,0.04
12.5,2,0.04
12.5,-2,0.04
