Subject c,,Condition: reference present
Delta,Estimate,Coherence
-24.5,-20,0.04
-23.5,-28,0.04
-22.5,-11,0.04
-22.5,23,0.04
-22.5,0,0.04
-22.5,-19,0.04
-22.5,-31,0.04
-21.5,-25,0.04
-21.5,-20,0.04
-20.5,8,0.04
-20.5,-21,0.04
-19.5,-10,0.04
-19.5,11,0.04
-18.5,-14,0.04
-18.5,-8,0.04
-18.5,-28,0.04
-18.5,-9,0.04
-17.5,-7,0.04
-17.5,-9,0.04
-17.5,-17,0.04
-16.5,-21,0.04
-16.5,-19,0.04
-16.5,-27,0.04
-15.5,-25,0.04
-15.5,-8,0.04
-15.5,-24,0.04
-14.5,12,0.04
-14.5,15,0.04
-14.5,21,0.04
-14.5,-10,0.04
-13.5,0,0.04
-13.5,-8,0.04
-13.5,17,0.04
-13.5,-30,0.04
-12.5,-15,0.04
-12.5,-30,0.04
-12.5,17,0.04
-12.5,-9,0.04
-11.5,-11,0.04
-11.5,-9,0.04
-11.5,10,0.04
-11.5,-27,0.04
-11.5,-6,0.04
-10.5,3,0.04
-10.5,-3,0.04
-10.5,-17,0.04
-10.5,-16,0.04
-9.5,-7,0.04
-9.5,-15,0.04
-8.5,-3,0.04
-8.5,-13,0.04
-8.5,24,0.04
-8.5,0,0.04
-7.5,-14,0.04
-7.5,-15,0.04
-7.5,-20,0.04
-6.5,29,0.04
-6.5,-7,0.04
-6.5,-13,0.04
-6.5,-23,0.04
-6.5,-19,0.04
-6.5,7,0.04
-6.5,17,0.04
-5.5,25,0.04
-5.5,10,0.04
-5.5,-17,0.04
-5.5,-21,0.04
-4.5,-6,0.04
-4.5,-14,0.04
-4.5,-18,0.04
-3.5,-24,0.04
-3.5,23,0.04
-3.5,1,0.04
-3.5,7,0.04
-3.5,0,0.04
-2.5,-17,0.04
-2.5,-19,0.04
-2.5,-5,0.04
-2.5,-21,0.04
-2.5,-16,0.04
-2.5,-19,0.04
-2.5,21,0.04
-1.5,22,0.04
-1.5,-11,0.04
-1.5,-15,0.04
-0.5,-14,0.04
0.5,11,0.04
0.5,2,0.04
0.5,2,0.04
0.5,16,0.04
0.5,-8,0.04
1.5,16,0.04
1.5,-18,0.04
2.5,11,0.04
2.5,20,0.04
2.5,14,0.04
3.5,-16,0.04
3.5,-8,0.04
4.5,-39,0.04
4.5,-14,0.04
4.5,-13,0.04
4.5,-15,0.04
4.5,-18,0.04
4.5,27,0.04
5.5,3,0.04
5.5,10,0.04
5.5,0,0.04
5.5,22,0.04
5.5,10,0.04
6.5,-14,0.04
6.5,-20,0.04
6.5,-1,0.04
6.5,-21,0.04
7.5,24,0.04
7.5,-35,0.04
7.5,16,0.04
8.5,15,0.04
8.5,-20,0.04
8.5,4,0.04
8.5,7,0.04
9.5,12,0.04
9.5,28,0.04
9.5,12,0.04
10.5,-5,0.04
11.5,-1,0.04
11.5,23,0.04
11.5,16,0.04
11.5,2,0.04
11.5,-19,0.04
12.5,11,0.04
12.5,14,0.04
12.5,8,0.04
12.5,20,0.04
13.5,-14,0.04
13.5,18,0.04
13.5,-20,0.04
13.5,13,0.04
14.5,20,0.04
15.5,19,0.04
15.5,15,0.04
16.5,20,0.04
16.5,19,0.04
16.5,11,0.04
17.5,22,0.04
17.5,7,0.04
18.5,-15,0.04
18.5,-28,0.04
18.5,5,0.04
18.5,-12,0.04
19.5,17,0.04
19.5,13,0.04
19.5,27,0.04
20.5,16,0.04
21.5,10,0.04
21.5,17,0.04
21.5,-12,0.04
22.5,9,0.04
22.5,8,0.04
22.5,22,0.04
22.5,-7,0.04
23.5,25,0.04
23.5,22,0.04
24.5,14,0.04
24.5,20,0.04
24.5,8,0.04
24.5,-15,0.04
-24.5,-33,0.07
-24.5,-19,0.07
-24.5,-27,0.07
-23.5,-20,0.07
-23.5,-12,0.07
-23.5,-14,0.07
-22.5,-17,0.07
-21.5,-23,0.07
-21.5,-16,0.07
-21.5,-14,0.07
-21.5,-25,0.07
-21.5,-30,0.07
-20.5,-19,0.07
-20.5,-11,0.07
-18.5,-5,0.07
-18.5,-11,0.07
-18.5,-9,0.07
-17.5,-14,0.07
-17.5,-23,0.07
-17.5,-4,0.07
-17.5,-5,0.07
-16.5,7,0.07
-16.5,-1,0.07
-16.5,-13,0.07
-16.5,-29,0.07
-15.5,9,0.07
-15.5,-10,0.07
-15.5,18,0.07
-15.5,-11,0.07
-14.5,-14,0.07
-14.5,-24,0.07
-14.5,-12,0.07
-14.5,-27,0.07
-14.5,-14,0.07
-14.5,-16,0.07
-13.5,-16,0.07
-13.5,-31,0.07
-13.5,-9,0.07
-13.5,-13,0.07
-13.5,-13,0.07
-12.5,5,0.07
-12.5,-9,0.07
-12.5,-15,0.07
-12.5,-9,0.07
-12.5,-10,0.07
-11.5,-17,0.07
-11.5,7,0.07
-10.5,11,0.07
-10.5,-11,0.07
-10.5,-18,0.07
-10.5,-21,0.07
-10.5,9,0.07
-9.5,-10,0.07
-9.5,-1,0.07
-9.5,9,0.07
-8.5,-23,0.07
-8.5,-15,0.07
-8.5,10,0.07
-7.5,-6,0.07
-7.5,-24,0.07
-7.5,21,0.07
-6.5,-8,0.07
-6.5,7,0.07
-6.5,-11,0.07
-6.5,-4,0.07
-6.5,-18,0.07
-5.5,-19,0.07
-5.5,-18,0.07
-4.5,-7,0.07
-4.5,16,0.07
-4.5,-8,0.07
-4.5,-15,0.07
-4.5,-31,0.07
-4.5,-12,0.07
-3.5,-6,0.07
-3.5,-22,0.07
-3.5,12,0.07
-3.5,-22,0.07
-2.5,-1,0.07
-2.5,12,0.07
-1.5,-12,0.07
-1.5,-10,0.07
-1.5,16,0.07
-1.5,-17,0.07
-0.5,-9,0.07
-0.5,4,0.07
-0.5,24,0.07
-0.5,15,0.07
-0.5,-19,0.07
-0.5,17,0.07
0.5,-4,0.07
