Subject e,,Condition: discrimination,
Binned delta,Proportion CW,SE,Coherence
-19.5,0.169,0.030,0.04
-15.5,0.136,0.027,0.04
-11.5,0.214,0.033,0.04
-7.5,0.290,0.039,0.04
-3.5,0.413,0.044,0.04
0.5,0.474,0.043,0.04
4.5,0.586,0.044,0.04
8.5,0.681,0.039,0.04
12.5,0.682,0.037,0.04
16.5,0.791,0.036,0.04
20.5,0.831,0.033,0.04
-19.5,0.101,0.026,0.07
-15.5,0.103,0.026,0.07
-11.5,0.129,0.030,0.07
-7.5,0.222,0.035,0.07
-3.5,0.307,0.040,0.07
0.5,0.469,0.042,0.07
4.5,0.634,0.038,0.07
8.5,0.755,0.034,0.07
12.5,0.748,0.038,0.07
16.5,0.865,0.028,0.07
20.5,0.910,0.023,0.07
-19.5,0.039,0.016,0.13
-15.5,0.036,0.016,0.13
-11.5,0.066,0.021,0.13
-7.5,0.131,0.029,0.13
-3.5,0.287,0.037,0.13
0.5,0.477,0.040,0.13
4.5,0.642,0.042,0.13
8.5,0.843,0.032,0.13
12.5,0.936,0.021,0.13
16.5,0.953,0.018,0.13
20.5,0.978,0.012,0.13
-19.5,0,0,0.25
-15.5,0.020,0.011,0.25
-11.5,0.035,0.015,0.25
-7.5,0.066,0.020,0.25
-3.5,0.217,0.033,0.25
0.5,0.407,0.042,0.25
4.5,0.752,0.035,0.25
8.5,0.888,0.027,0.25
12.5,0.946,0.019,0.25
16.5,0.974,0.013,0.25
20.5,1,0,0.25
